feature,anova_f,anova_pvalue
near_x_consequential,74.61105888257254,1.6910847373352975e-28
path_x_drive,74.32746091788194,2.086261610216504e-28
practice_x_social,73.09826481439393,5.196561838583872e-28
practice_x_surprised,71.41609566385968,1.8234571604132422e-27
path_x_communication,70.12419467154356,4.806060843633929e-27
biomotion_x_self,68.42242736907065,1.7344465780132444e-26
practice_x_long,67.82310608984577,2.730599555646738e-26
landmark_x_human,67.42632365301301,3.6895950679589364e-26
slow_x_practice,66.8159560298201,5.867155615326614e-26
toward_x_self,64.67787261981276,3.0031716686369435e-25
lowerlimb_x_short,63.914386577529626,5.396807205256607e-25
upperlimb_x_self,62.66970617274399,1.4081268747194879e-24
touch_x_human,62.369370618567324,1.775924926697167e-24
biomotion_x_path,61.82061938834398,2.715515950345206e-24
path_x_near,61.398027698820144,3.7681766198366314e-24
complexity_x_self,59.73742313174789,1.3720207642040014e-23
practice_x_sad,59.43812292265665,1.733318093214686e-23
upperlimb_x_path,58.5235812233937,3.5462482800050155e-23
fast_x_cognition,58.0220099722309,5.256780884288249e-23
practice_x_unpleasant,56.73328537685583,1.4501536205748845e-22
landmark_x_short,56.68457907161634,1.5069922928654005e-22
slow_x_human,56.65890138669824,1.5378529876904602e-22
body_x_landmark,55.67723672945292,3.3428535855181643e-22
self,55.6160470251545,3.5089478407881443e-22
biomotion_x_landmark,54.622674862607646,7.722148263218981e-22
path_x_social,53.40933060467256,2.031835292218979e-21
slow_x_consequential,53.126138470622166,2.548159984640965e-21
slow_x_drive,52.502225207393316,4.2000108193654106e-21
path_x_consequential,51.37170264027919,1.041836191560943e-20
upperlimb_x_short,51.223156459213584,1.1742679913483977e-20
motion_x_self,51.10400971198161,1.2926203554705763e-20
body_x_away,50.615451320841736,1.9172274516788324e-20
time_x_self,50.394477810594566,2.291988961086771e-20
self_sq,50.34852893166697,2.3787238012025285e-20
face_x_practice,50.10705723084587,2.8917786022320683e-20
consequential_x_self,49.82049480482509,3.646919696703113e-20
scene_x_self,49.365971446454566,5.271956349377963e-20
body_x_self,49.196572834125206,6.049104427565173e-20
short,47.99478057802536,1.6087203016761235e-19
slow_x_caused,47.19381774779055,3.095146615143522e-19
path_x_caused,47.157784567630976,3.187771998930074e-19
practice_x_angry,46.39094625282345,5.976407440310177e-19
touch_x_short,46.27742765561555,6.560174066494378e-19
practice_x_attention,46.14342764825525,7.323455561350295e-19
away_x_cognition,45.72382782043643,1.0340860757964092e-18
near_x_cognition,45.45753172174614,1.2875922509574105e-18
path,44.75121834607276,2.3057780508026196e-18
away_x_drive,44.226505539940355,3.558343003447064e-18
body_x_toward,44.00198728516807,4.285411549118813e-18
slow_x_cognition,43.96985228802612,4.401038844509817e-18
short_x_benefit,43.088561497936325,9.145830491427685e-18
biomotion_x_away,42.9107590759232,1.0603424561127475e-17
practice_x_fearful,41.9969967005154,2.2709520337797725e-17
fast_x_human,41.659993393677716,3.0095084658526725e-17
away_x_short,41.450683096353785,3.5853302633094026e-17
near_x_arousal,41.24787606411292,4.248740477017613e-17
path_x_duration,40.72623318508438,6.579242841122216e-17
path_sq,40.55047131595291,7.62524967352427e-17
away_x_consequential,40.21323733425487,1.012337723811346e-16
consequential_x_human,40.10439430483648,1.1093843557334997e-16
upperlimb_x_human,39.20028394073839,2.3767644570499345e-16
practice_x_time,38.77758083170517,3.397060868081197e-16
upperlimb_x_consequential,38.21381619402796,5.475095762641629e-16
time_x_human,38.07145851267112,6.177437549715547e-16
caused_x_self,37.757806588916786,8.061231050369095e-16
caused_x_human,37.60421855697353,9.18454018254208e-16
touch_x_consequential,37.27067900018034,1.2195917614609596e-15
long_x_human,37.06252807605505,1.4559822239844396e-15
path_x_arousal,36.895573329632015,1.6784799849804248e-15
near_x_self,36.67506280192789,2.025587805206756e-15
lowerlimb_x_self,36.5521875210552,2.249427067594653e-15
human_x_cognition,36.265878070766014,2.8722774910714485e-15
fast_x_practice,36.052918015058374,3.4455971911975768e-15
biomotion_x_time,36.03161948653106,3.508916041043433e-15
slow_x_path,35.96458909834378,3.715923951671977e-15
self_x_arousal,35.885828578330376,3.974894385679997e-15
head_x_path,35.673929698056796,4.765298097427822e-15
path_x_benefit,35.126998082202,7.615529012024413e-15
biomotion_x_consequential,35.114264390860754,7.69920513925589e-15
slow_x_duration,35.10669416301546,7.749388099884642e-15
touch_x_cognition,35.05750701579402,8.083551113509696e-15
short_x_consequential,34.68776631650958,1.110559361762673e-14
biomotion_x_caused,34.66165163483713,1.1357747555740924e-14
practice_x_away,34.64621375516859,1.150950734744927e-14
short_x_drive,34.559630946056174,1.2399196266855718e-14
lowerlimb_x_consequential,34.438885930081355,1.3756504801260077e-14
landmark_x_path,34.416145187473774,1.4028373199490581e-14
human,34.24002763730524,1.6325129513364188e-14
toward_x_short,33.88694527138455,2.2131648364403538e-14
biomotion_x_toward,33.63508936953943,2.750413928182956e-14
practice_x_communication,33.583451363141336,2.875819326101356e-14
fast_x_body,33.123635569848076,4.279229406521785e-14
path_x_toward,32.971610469648255,4.8809378577349204e-14
biomotion_x_cognition,32.94218823482826,5.0068609832705926e-14
complexity_x_short,32.80058507044106,5.660104459797974e-14
slow_x_upperlimb,32.681447337687,6.27563417758579e-14
toward_x_cognition,32.639175992074414,6.509837482579604e-14
vision_x_shape,32.57656205654553,6.872985599684991e-14
upperlimb_x_duration,32.10077371677776,1.0386887681757364e-13
lowerlimb_x_path,31.846744605296163,1.2953290857950427e-13
human_x_arousal,31.836900280360236,1.3064665828920316e-13
social_x_self,31.758328439385902,1.3988790135498338e-13
touch_x_caused,31.70814968636656,1.4613055319561188e-13
upperlimb_x_caused,31.61684047160296,1.5821721143093647e-13
near_x_drive,31.611896243440167,1.5889963299419693e-13
face_x_short,31.60187305851376,1.6029215996247408e-13
speech_x_practice,31.55652337411143,1.6674745948616132e-13
practice,31.472728852003094,1.7937038579858444e-13
path_x_pleasant,31.402737363861483,1.906471093253282e-13
body_x_time,31.110750794740824,2.459109565703167e-13
motion_x_practice,30.80814912532017,3.202464820220582e-13
near_x_social,30.61668871966704,3.785598181667401e-13
away_x_caused,30.548649671688086,4.0175925193676153e-13
practice_sq,30.533963773423842,4.069512735442386e-13
path_x_away,30.392600097264555,4.605091115499493e-13
human_x_communication,30.35601340779921,4.754889926295225e-13
slow_x_body,29.993991782717256,6.528520050189882e-13
slow_x_social,29.915285342791222,6.994770119913155e-13
near_x_surprised,29.748455271122676,8.09669114184996e-13
biomotion_x_upperlimb,29.076436234405477,1.4610914084873547e-12
practice_x_disgusted,28.785567864333796,1.8873938254182734e-12
small_x_human,28.35526533812791,2.7579905428244872e-12
touch_x_duration,28.354497015427878,2.759860738832289e-12
self_x_pleasant,28.305360326906428,2.882150555727953e-12
slow_x_arousal,28.152515693680318,3.298468063604039e-12
touch_x_self,28.1057078368079,3.437671112682729e-12
landmark_x_toward,28.02367932372853,3.6960074351037865e-12
landmark_x_cognition,27.98750480088291,3.8160480999187135e-12
slow_x_near,27.806113780744912,4.479703647503245e-12
temperature_x_human,27.80359011463735,4.4897119924116945e-12
lowerlimb_x_caused,27.738703598336933,4.754898379376222e-12
practice_x_benefit,27.628574622827518,5.241516173341648e-12
short_x_needs,27.624490622258552,5.260494003032611e-12
self_x_drive,27.578216914877803,5.480405835927396e-12
self_x_attention,27.553944537629608,5.599427764287883e-12
biomotion_x_long,27.45610770190437,6.1061042017178486e-12
motion_x_cognition,27.314408185531,6.9227430689018765e-12
self_x_benefit,27.134151114073155,8.122177466580394e-12
touch_x_path,27.044289921706365,8.796019523058268e-12
body_x_consequential,26.98662425170897,9.257747134835355e-12
shape_x_scene,26.89374238936461,1.0053211705085966e-11
slow_x_benefit,26.8040822060573,1.0886186900270002e-11
shape_x_benefit,26.74436291431945,1.1479141117001344e-11
short_sq,26.73346348757733,1.159081307083752e-11
body_x_caused,26.655293265911762,1.2424360972086683e-11
motion_x_short,26.390049841455397,1.5728437563145552e-11
path_x_long,26.36563094873285,1.607383581209016e-11
communication_x_self,26.315732819549893,1.6803512311569137e-11
social_x_human,26.22797075788612,1.8168577894494367e-11
human_x_drive,26.13581587183858,1.9722097189926914e-11
shape,25.94906427654204,2.329183867037395e-11
human_x_pleasant,25.789039265359676,2.686330679866288e-11
vision_x_self,25.76331390993435,2.748674093880306e-11
lowerlimb_x_duration,25.554254935441215,3.312337088153999e-11
away_x_social,25.510976494047497,3.442817511086478e-11
away_x_duration,25.072063468602522,5.096329128315522e-11
upperlimb_x_landmark,24.895098832551255,5.97072425415457e-11
toward_x_drive,24.87155441657636,6.097901197465625e-11
shape_sq,24.856321092232065,6.181631759802706e-11
lowerlimb_x_drive,24.712128968169942,7.033705072481298e-11
body_x_upperlimb,24.69707223093128,7.129222618339326e-11
lowerlimb_x_practice,24.687910804276186,7.1879778820268e-11
slow_x_away,24.687035478545234,7.19361703550994e-11
lowerlimb_x_human,24.677832930067897,7.253172747901864e-11
path_x_happy,24.639365390963203,7.507532612507961e-11
upperlimb_x_long,24.544938724389265,8.170574451686107e-11
fast_x_short,24.514836619642644,8.394074995440882e-11
shape_x_texture,24.489461244810684,8.587245964321738e-11
biomotion_x_near,24.399110005703633,9.312040655364793e-11
shape_x_pleasant,24.283044784107474,1.0334057633859003e-10
upperlimb_x_cognition,24.211961894820984,1.1014886103065318e-10
long_x_short,24.124580708342577,1.191389741438298e-10
body_x_cognition,24.112335328648,1.204564013546811e-10
toward_x_duration,23.999670153340976,1.3328581826113765e-10
upperlimb_x_drive,23.93099796989283,1.4177031019450072e-10
away_x_arousal,23.877930681660054,1.4869682594675077e-10
away_x_communication,23.68622364031797,1.766766123928623e-10
slow_x_communication,23.653037073380688,1.8203182279882581e-10
scene_x_short,23.080378962484204,3.049378912817623e-10
shape_x_happy,23.079500096861413,3.0517973045857493e-10
small_x_self,22.93946541268597,3.462822035557202e-10
shape_x_weight,22.73148444225037,4.1782131986779865e-10
near_x_unpleasant,22.658861081691068,4.46156345977542e-10
lowerlimb_x_cognition,22.564847917239774,4.85724165871306e-10
fast_x_near,22.47926857992035,5.248010359252964e-10
complexity_x_cognition,22.405053630398,5.612379653210827e-10
fast_x_communication,22.402399016896595,5.625873598263442e-10
landmark_x_away,22.261782764761758,6.389270868473776e-10
path_x_needs,22.250007871603394,6.457735652062724e-10
toward_x_consequential,22.244227094441868,6.491617100607895e-10
long_x_self,21.974783234675616,8.285966275747809e-10
biomotion_x_social,21.829751766592167,9.450268738095628e-10
slow_x_toward,21.810400808927756,9.617575056145757e-10
vision_x_weight,21.784549426030356,9.845736337470063e-10
fast_x_drive,21.763160704721074,1.0038616595278327e-09
vision_x_texture,21.439733673160866,1.3464041361662487e-09
short_x_cognition,21.322346005219913,1.497944310637249e-09
biomotion_x_arousal,21.159520324335734,1.736936280054925e-09
color_x_shape,20.886467877328023,2.2268624691160644e-09
large_x_self,20.87943734193613,2.2411633370951846e-09
biomotion_x_drive,20.70512657635231,2.6268103717549354e-09
fast_x_upperlimb,20.54676000623812,3.0347387202095706e-09
away,20.372711032284897,3.5568966145270854e-09
body_x_arousal,20.348043418976093,3.6378731206760553e-09
lowerlimb_x_communication,20.25083651311753,3.975418193912608e-09
body_x_long,20.24622501126599,3.992191233545864e-09
biomotion_x_lowerlimb,20.071547524771642,4.682736712949403e-09
short_x_arousal,20.067301163034447,4.70094067124941e-09
practice_x_pleasant,20.028084826103935,4.872456229561944e-09
near_x_long,20.01062803718875,4.950813817549576e-09
shape_x_complexity,19.91339787224192,5.410993803761938e-09
short_x_social,19.909230398576295,5.4316513748994475e-09
pattern_x_shape,19.899602865259222,5.479677154053986e-09
practice_x_toward,19.86929534210557,5.633665995218312e-09
touch_x_drive,19.79748304181089,6.016118901300821e-09
body_x_lowerlimb,19.791167360726874,6.050977675457487e-09
upperlimb_x_practice,19.628845276544823,7.020005737143765e-09
color_x_weight,19.56457061335951,7.4455145126923595e-09
color_x_benefit,19.241043892822287,1.0014857682429281e-08
body_x_near,19.23819419561781,1.0041061809506453e-08
pain_x_practice,19.18656098946638,1.0527963606277727e-08
fast_x_landmark,19.116785896990596,1.1223854659888662e-08
texture_x_human,19.02411329234329,1.2220100294436186e-08
near_x_time,18.99980868214119,1.2495778357672184e-08
lowerlimb_x_arousal,18.954362644374775,1.3028133192861635e-08
fast_x_slow,18.854164989241188,1.4283760366527821e-08
path_x_time,18.567078566072926,1.8596573864713275e-08
practice_x_happy,18.543257473092638,1.900848529425471e-08
away_sq,18.51745725453679,1.946496771761693e-08
near_x_attention,18.477521820920764,2.0193360519792597e-08
pattern_x_weight,18.464821693895924,2.0430693199437912e-08
bright_x_shape,18.445534617978723,2.0796489990324717e-08
touch_x_angry,18.421804054935418,2.1255603519343903e-08
motion_x_human,18.40300894572814,2.1626447511260436e-08
body_x_touch,18.399384766187698,2.1698699882592153e-08
texture_x_weight,18.3973937448614,2.1738496449754962e-08
toward_x_caused,18.36628971193969,2.236981217922197e-08
near_x_angry,18.062425581202536,2.9594460241793116e-08
short_x_caused,17.868371131983107,3.539301848603764e-08
complexity_x_practice,17.790492976976644,3.802958142179378e-08
short_x_pleasant,17.74395528173902,3.9698412582212386e-08
shape_x_temperature,17.631839093285258,4.402740398580682e-08
temperature_x_self,17.567141631146427,4.67381731052886e-08
vision_sq,17.399920849410815,5.454738500437112e-08
short_x_communication,17.378238422704424,5.5651671659236914e-08
biomotion_x_slow,17.37346294682578,5.589788943606806e-08
path_x_angry,17.33629396421424,5.7852068706622025e-08
slow_x_long,17.277033274494013,6.111070161202447e-08
biomotion_x_communication,17.222527385262865,6.427048770302115e-08
duration_x_short,17.164944411852083,6.778718363080858e-08
slow,17.120603992877783,7.06263682888263e-08
body_x_drive,17.064722364009604,7.437537675083686e-08
human_x_happy,16.947090955603553,8.293358438832537e-08
vision_x_benefit,16.92677611614047,8.450876918726097e-08
biomotion,16.92007903208674,8.503461252197377e-08
human_x_benefit,16.84810148031958,9.089799450532903e-08
slow_x_lowerlimb,16.828536008926676,9.256090749601912e-08
vision_x_pattern,16.824716601460707,9.288907592265712e-08
biomotion_x_fast,16.764167500414757,9.825049533354347e-08
small_x_cognition,16.692950243651506,1.049559021465143e-07
shape_x_drive,16.644070613653934,1.0982241649090827e-07
body,16.55472597196343,1.1931127590939998e-07
motion_x_path,16.542642365523278,1.2065634878194718e-07
lowerlimb_x_toward,16.527722464668038,1.2233817932430592e-07
shape_x_touch,16.498801572781456,1.2566563506190438e-07
color_x_texture,16.442461818199966,1.3241113424873537e-07
body_x_social,16.370175276597777,1.4160157596560344e-07
fast_x_duration,16.35291735978287,1.4388889533177607e-07
lowerlimb_x_landmark,16.338751107583324,1.4579417065609382e-07
vision_x_short,16.299638981358783,1.5118715688951708e-07
near_x_away,16.279476278526445,1.5404513750464603e-07
complexity_x_human,16.241358818082354,1.5959729087626958e-07
away_x_benefit,16.227495285643702,1.616661293367691e-07
self_x_cognition,16.211976705281852,1.6401392842912868e-07
upperlimb_x_benefit,16.193991295421277,1.6677782645929982e-07
practice_x_landmark,16.18728477577271,1.6782038382783557e-07
bright_x_weight,16.169596028858752,1.7060169574843083e-07
motion_x_drive,16.143429141574472,1.7480123890962254e-07
self_x_unpleasant,16.128730108585923,1.772056980766747e-07
upperlimb_x_arousal,16.116372828933127,1.7925278804742648e-07
weight_x_benefit,16.08721037659503,1.8417850067824833e-07
weight_x_scene,16.066176284162022,1.8781549702679638e-07
touch_x_social,16.04448760159863,1.9164126239491944e-07
texture_x_short,16.035570722828922,1.9323677472099055e-07
human_x_needs,15.96681169402513,2.0599673277677484e-07
body_x_pleasant,15.943913624685173,2.1043128705254484e-07
head_x_self,15.83099179737224,2.3374382565267148e-07
upperlimb_x_social,15.752252308088025,2.5151901545663487e-07
fast_x_consequential,15.680826689121004,2.6881552443626227e-07
shape_x_attention,15.644290914878916,2.7812011347430445e-07
pattern_x_texture,15.631649693726922,2.814142541659685e-07
path_x_scene,15.624844563430582,2.8320378677599803e-07
path_x_attention,15.617584831200055,2.8512547188793436e-07
away_x_angry,15.50922807932573,3.154157638556095e-07
weight_x_pleasant,15.418224761712832,3.4334021619280957e-07
toward_x_social,15.41806131454985,3.433925419101847e-07
duration_x_benefit,15.357374088406498,3.6338528334690966e-07
vision_x_color,15.326859617343011,3.7387569951915425e-07
toward_x_away,15.301413992053101,3.828558339945595e-07
small_x_path,15.269416255717113,3.9445657242061645e-07
texture_x_scene,15.081824512523879,4.6993620804155797e-07
bright_x_texture,15.046821892739755,4.855500981819955e-07
fast_x_social,15.046338338676971,4.85769411884746e-07
small_x_short,14.899006650598139,5.574473718145255e-07
away_x_long,14.895721681109823,5.591612323615415e-07
self_x_surprised,14.884499017886695,5.650564484316843e-07
weight_x_happy,14.864062274039295,5.759526520005301e-07
toward_x_long,14.849733853319194,5.83717754852762e-07
motion_x_upperlimb,14.8412825815099,5.883470406504664e-07
upperlimb,14.831796409929623,5.935871593336952e-07
lowerlimb_x_long,14.78702259585291,6.189601052651813e-07
near,14.767406083969895,6.304172468941955e-07
biomotion_x_touch,14.757194022116007,6.364657538808276e-07
upperlimb_x_away,14.737856528965132,6.48079370382339e-07
taste_x_human,14.649788630387906,7.037233134263663e-07
landmark_x_drive,14.648365993734018,7.046605148102807e-07
pain_x_self,14.581091571035634,7.504413442283147e-07
benefit,14.557735248571808,7.670248558657336e-07
self_x_happy,14.553327229195508,7.701957074655936e-07
texture_x_benefit,14.533919752782563,7.843136069197037e-07
color_x_touch,14.493348014993707,8.146730110635089e-07
fast_x_path,14.448533372990925,8.495817956743473e-07
texture_sq,14.404980104696179,8.849477592509102e-07
fast_x_caused,14.394773161698321,8.934476902423526e-07
shape_x_toward,14.359302368006386,9.23629320355975e-07
human_x_attention,14.353548674682868,9.286207290096909e-07
color,14.337861253945462,9.423678974662473e-07
motion_x_body,14.311299766192858,9.661120354956406e-07
human_sq,14.192348992219618,1.0800409962932175e-06
human_x_surprised,14.14638281197995,1.1276003390076636e-06
slow_x_time,14.092913350957494,1.1855772671221995e-06
small_x_consequential,14.089490144998408,1.1893894706951194e-06
landmark_x_consequential,14.019912093892257,1.269599867765378e-06
pattern_x_human,14.001639113246764,1.2915518700901607e-06
pattern_x_benefit,13.946678210776152,1.3599040419076719e-06
practice_x_harm,13.916078465356454,1.3995226449520857e-06
lowerlimb_x_away,13.882406168188929,1.4444610515962466e-06
shape_x_social,13.844427711839987,1.496888736730077e-06
shape_x_arousal,13.822478060632578,1.5280568135360308e-06
lowerlimb,13.741258869121118,1.6491654097697349e-06
near_x_fearful,13.731804090499226,1.6638763906354712e-06
consequential,13.716876935715643,1.6873708795547016e-06
fast_x_long,13.695475315254772,1.7216385604608101e-06
pattern_x_temperature,13.665822018052193,1.770277283448584e-06
small_x_duration,13.648243314997918,1.7997600720605947e-06
face_x_self,13.644999361622327,1.8052544701605556e-06
color_x_scene,13.635348718344641,1.8216999519567762e-06
biomotion_x_pleasant,13.58464040949155,1.9106169173728417e-06
toward_x_benefit,13.537096661004865,1.9979424828777376e-06
shape_x_smell,13.522836789481646,2.0249078227332854e-06
lowerlimb_x_time,13.49731511139352,2.0740853537720543e-06
lowerlimb_x_social,13.497159961525895,2.0743879513980877e-06
texture,13.440642252576984,2.1876220062564524e-06
lowerlimb_x_surprised,13.380234937288423,2.3155252317371303e-06
scene_x_human,13.377633859082719,2.3211982946911694e-06
slow_x_landmark,13.365917845779286,2.346925034423278e-06
path_x_surprised,13.332618312708963,2.4216212978662978e-06
motion_x_consequential,13.318730700762039,2.4534750220863107e-06
loud_x_self,13.307329823380858,2.4799393974549467e-06
speech_x_short,13.229579269856812,2.6682298178231045e-06
slow_x_pleasant,13.168235213269574,2.826875137581338e-06
pattern_x_scene,13.128205232048389,2.935475345454505e-06
toward_x_arousal,13.124859637071307,2.9447394824101687e-06
weight,13.059874525145402,3.1306292438853455e-06
duration_x_drive,13.04019895685247,3.1892034576240397e-06
biomotion_x_benefit,13.035415722943226,3.203608761256541e-06
near_x_sad,13.030177168748128,3.2194603350704757e-06
vision_x_scene,12.95880980053452,3.443431329509454e-06
upperlimb_x_near,12.939588132344776,3.5063867129169e-06
duration_x_consequential,12.891069888867609,3.6704873188453637e-06
color_x_happy,12.849547002317141,3.817043083502712e-06
motion_x_shape,12.782399196543725,4.066588736995308e-06
shape_x_upperlimb,12.752133733134887,4.184363641397372e-06
practice_x_near,12.728572035369838,4.278419236812501e-06
temperature_x_weight,12.552741421036943,5.05077709688009e-06
lowerlimb_x_unpleasant,12.479063205341227,5.414725444647742e-06
self_x_needs,12.43609448541224,5.639026239311582e-06
shape_x_sound,12.435444007471927,5.64249257443357e-06
body_x_happy,12.385911310848007,5.91283476961178e-06
color_x_large,12.36823611096948,6.0124224809262445e-06
toward_x_communication,12.351813276314818,6.1064638187721465e-06
upperlimb_x_lowerlimb,12.341620210829031,6.165573759074575e-06
color_x_complexity,12.306181796629991,6.375592506045562e-06
toward,12.249431434268093,6.726988536273134e-06
vision_x_cognition,12.24401603659058,6.761521109516969e-06
motion_x_near,12.194239449481113,7.087395046890516e-06
color_x_pleasant,12.179963196731551,7.183737314051517e-06
near_x_benefit,12.147535343934072,7.407491909803704e-06
fast_x_lowerlimb,12.140065756850513,7.460017083667743e-06
away_x_pleasant,12.12837038287282,7.5430101110447415e-06
shape_x_audition,12.12111931811168,7.594930533918167e-06
away_x_attention,12.108180198043556,7.688473313221744e-06
small_x_caused,12.094077748548882,7.791745221341849e-06
complexity_x_path,12.093619334183087,7.795125466709919e-06
color_x_upperlimb,12.055780115970729,8.079284499735883e-06
lowerlimb_sq,12.02653420773832,8.306022840783401e-06
short_x_attention,12.006132607148436,8.467968066072341e-06
landmark_x_communication,12.000938691120055,8.509700898776048e-06
small_x_shape,11.9902449575315,8.596276329901505e-06
temperature_x_texture,11.97079044008355,8.756054072447238e-06
drive,11.965461838558223,8.800335518128389e-06
face_x_duration,11.915272343830178,9.228617282519786e-06
fast_x_away,11.855144038163091,9.769376709975055e-06
color_x_sad,11.84789614174609,9.836674426077467e-06
near_x_pleasant,11.841760481680932,9.89400879918449e-06
vision_x_sound,11.820827959210025,1.0092150441140554e-05
color_x_toward,11.735369865828075,1.0943308230583125e-05
weight_sq,11.714528638088778,1.116160281264589e-05
fast,11.69236156470884,1.1398588335504036e-05
duration_x_cognition,11.656867378788974,1.1788626721812225e-05
color_x_drive,11.605542355096826,1.2376465931937416e-05
color_x_near,11.572688915652648,1.2768116098431442e-05
slow_x_needs,11.556457191094657,1.2966188638504471e-05
near_x_toward,11.517480149628364,1.3454518290047582e-05
weight_x_smell,11.51492279635157,1.3487197027261517e-05
touch_x_arousal,11.490727225187406,1.3800350156166371e-05
vision_x_smell,11.468925374770851,1.4088775088854682e-05
complexity_x_texture,11.450157387587076,1.4341910512260374e-05
small_x_long,11.427171530678704,1.4658169246818682e-05
sound_x_self,11.424639671963044,1.4693430328585033e-05
upperlimb_x_scene,11.36182899678525,1.5596006876083247e-05
touch_x_sad,11.296506946041879,1.6593825554939506e-05
lowerlimb_x_benefit,11.28305839477927,1.6807089110281854e-05
texture_x_pleasant,11.273863443917067,1.695448316740203e-05
upperlimb_x_toward,11.225759985665688,1.7747012284337923e-05
shape_x_near,11.124331680507087,1.954223497108046e-05
motion_x_away,11.064343937509955,2.0688733603671272e-05
pattern_x_toward,11.047134919456475,2.1029942256898806e-05
body_x_temperature,10.947911129290084,2.3110535220910595e-05
color_x_small,10.939639552091858,2.329305011180807e-05
small_x_drive,10.939358014215669,2.329928775201135e-05
complexity_x_consequential,10.910939289765915,2.3937634453236094e-05
texture_x_happy,10.891777451385597,2.437794129964694e-05
color_x_pattern,10.872553751996842,2.4827847003921974e-05
body_x_communication,10.860702682919905,2.5109353076516988e-05
sound_x_scene,10.820142784559195,2.6097293847389334e-05
pattern_x_happy,10.79941757062729,2.661709267708054e-05
upperlimb_sq,10.770456820209919,2.736091408793845e-05
vision_x_pleasant,10.769439977030288,2.738740661675575e-05
complexity_x_weight,10.743580326888214,2.806987749530378e-05
weight_x_self,10.726524964042152,2.852931688197647e-05
touch_x_unpleasant,10.705554465438041,2.910459247981766e-05
pattern_x_smell,10.692221204435743,2.9476405184249664e-05
dark_x_shape,10.678986711185573,2.985018315807494e-05
weight_x_short,10.649190994812013,3.0709218246183014e-05
texture_x_self,10.637358906154661,3.105719830920438e-05
motion_x_benefit,10.636928971349475,3.106991695450706e-05
pattern_x_pleasant,10.62769160295556,3.13444511948935e-05
shape_x_head,10.624487322813316,3.1440250544699236e-05
small_x_texture,10.618726947790991,3.1613210637558316e-05
self_x_harm,10.570883902245692,3.308718554496233e-05
upperlimb_x_pleasant,10.538367287335902,3.412820058212159e-05
lowerlimb_x_pleasant,10.449358524440411,3.714927077699551e-05
color_x_motion,10.42048045326682,3.8186059579824645e-05
vision_x_bright,10.380928063867817,3.9653426524273746e-05
bright_x_touch,10.365617229811772,4.023654168623168e-05
color_x_attention,10.347005727794842,4.095697766417719e-05
motion_x_duration,10.326252098487824,4.1775628947644676e-05
motion_x_biomotion,10.3249448977387,4.1827740002848527e-05
small_x_social,10.310890399663803,4.239215999377464e-05
large_x_short,10.303478403832301,4.2692896672056135e-05
scene_x_toward,10.293545656020065,4.309927493978526e-05
away_x_surprised,10.261317810822128,4.4444767853059324e-05
vision_x_sad,10.260681289384504,4.447176297616564e-05
near_x_happy,10.23943904983881,4.5382165850704596e-05
toward_x_time,10.233726975513072,4.563015366665753e-05
motion_x_caused,10.233174699247234,4.565420262223373e-05
upperlimb_x_time,10.217245432039721,4.635335283150264e-05
dark_x_human,10.205271131177534,4.688598993042496e-05
bright_x_benefit,10.181250748950019,4.7973070121654044e-05
weight_x_attention,10.15705025967754,4.909391437044917e-05
bright_x_pattern,10.101300870634923,5.177710115232142e-05
